Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
379,1Cm9ugUjEUyMvjB3uWxESapa861uEtcVyc,4449,,,0.02332,2021-02-23 22:25:49,2021-07-11 17:32:53,,,76,
380,154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdU,4449,,,0.02332,2021-02-22 06:27:25,2021-07-11 17:32:53,,,78,
381,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,4449,,,0.02332,2021-02-20 01:01:18,2021-07-11 17:32:53,,,78,
382,1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,4449,,,0.02332,2021-02-09 00:28:24,2021-07-11 17:32:53,,,76,
383,12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAq,4449,,,0.02332,2021-02-23 10:21:34,2021-06-19 16:56:38,,,74,
384,1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,4449,,,0.02332,2021-02-17 04:51:00,2021-06-19 16:56:38,,,79,
385,1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMw,4449,,,0.02332,2021-02-05 13:25:02,2021-06-19 15:40:35,,,67,
386,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,4421,,,0.02317,2021-02-25 04:07:35,2021-07-11 17:32:53,,,73,
387,15fe3qyXbtR5riHAeTiUrCJpiD88FcEYN7,4390,4390,4390,0.02301,2022-06-30 00:43:22,2022-06-30 00:45:03,,,2,
388,17huUtRYdAjTwXwmcZxt216GmgCBBudbVX,4377,4377,4377,0.02294,2022-06-29 13:52:22,2022-06-29 13:52:22,,,3,
389,3FzFX9bXNYmA9nxTH51LCqm4XtCaaC6SEw,4367,,,0.02289,2021-03-09 15:23:28,2022-06-29 17:29:12,2021-03-15 19:48:20,2022-06-27 13:02:48,155,142
390,16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2,4365,,,0.02288,2020-04-27 13:29:36,2022-06-29 17:32:57,2020-04-29 14:30:06,2022-06-29 17:32:57,1825,1798
391,1JRZC1xwXN12xeeMQexop4QkcQhZyL2fHD,4352,,,0.02281,2022-03-09 19:33:11,2022-06-17 16:56:34,2022-03-09 21:19:00,2022-03-09 21:19:00,5,1
392,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,4333,,,0.02271,2011-08-08 11:20:12,2021-12-24 16:58:24,,,36,
393,18DowXoMUQT5EU8zPTDTrq4hrwmi8ddCcc,4330,,,0.02269,2021-12-01 14:51:49,2022-06-28 17:55:35,2021-12-02 11:57:52,2022-06-27 14:26:58,604,596
394,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,4322,,,0.02265,2011-08-08 11:20:12,2022-03-05 04:09:16,,,36,
395,13WWdMeTH9dhEXRT3hy9BFq4qhHWSispYr,4308,,,0.02258,2022-02-23 02:25:15,2022-03-18 18:03:04,2022-03-01 18:00:16,2022-03-01 18:00:16,6,1
396,17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb,4301,,,0.02254,2016-11-06 17:35:38,2021-05-29 05:13:09,2017-02-08 03:48:42,2021-09-29 07:42:39,5044,333
397,3N5Nny9doXSfjYh5k9XNdG8baE1kiayx5o,4289,,,0.02248,2018-01-29 01:30:45,2021-06-09 02:35:57,,,26,
398,1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p,4274,,,0.02240,2021-12-20 21:24:15,2022-06-29 23:53:13,2021-12-28 19:55:02,2022-06-29 23:53:13,349,348
399,1JCrPqogEKEpM9fuFQV7LpF9e8cgf3YZ8m,4251,,,0.02228,2018-01-26 21:11:42,2021-10-10 20:54:55,2018-02-13 10:47:20,2018-02-13 10:47:20,25,1
400,1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,4230,,,0.02217,2021-03-02 16:39:33,2021-07-11 17:32:53,,,67,
401,1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,4230,,,0.02217,2021-02-26 02:06:52,2021-07-11 17:32:53,,,67,
402,1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,4230,,,0.02217,2021-02-25 04:07:35,2021-07-11 17:32:53,,,70,
403,1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,4230,,,0.02217,2021-02-26 00:13:46,2021-07-11 17:32:53,,,67,
404,124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,4230,,,0.02217,2021-02-25 04:01:02,2021-07-11 17:32:53,,,77,
405,1MGRMRJkMvEbmSRZxtA5zkAoZiDBEnrFGj,4230,,,0.02217,2021-02-25 09:33:12,2021-07-11 17:32:53,,,68,
406,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,4176,,,0.02188,2011-01-29 01:31:18,2021-06-09 02:35:57,2011-05-28 22:18:47,2020-07-11 08:20:46,62,9
407,34MSicAL7qVGkevFPLwyc9KohGzoUSnu3Q,4150,,,0.02175,2020-10-09 21:08:16,2022-06-15 13:33:22,2021-02-12 22:30:32,2022-02-28 21:16:31,77,53
408,1GX7i8jG8DD1mG85BNnz7xybVhSmw84Uii,4109,,,0.02153,2013-04-24 23:58:46,2021-06-09 02:35:57,,,34,
409,3FAxrWQVgNNUZ4FCjRQgzDbce1vTyonzwC,4084,,,0.02140,2018-10-22 18:18:34,2022-06-13 16:39:09,2018-10-22 19:42:39,2022-06-13 16:39:09,35,11
410,1gtmmzwhqUzhb8XoShHwgyrzbJwdZ47ok,4073,,,0.02135,2017-09-22 08:51:10,2021-06-09 02:35:57,2018-02-05 01:22:50,2019-12-10 10:34:00,65,12
411,bc1qm0w6vaup859g88d0lw2rdghhs7qy4zz6ewwfn5,4058,,,0.02127,2022-02-24 17:59:00,2022-06-29 22:24:59,2022-02-24 23:26:34,2022-06-29 22:24:59,168,165
412,3Dhk8F6KYvMyqHN1r4kAT8t7SceK7yDjA4,4057,,,0.02126,2017-12-28 13:54:31,2022-06-30 07:08:55,2018-01-06 14:00:15,2022-06-29 04:10:18,1905,1353
413,1N5NqDWiLVqtU8mEzCNEeEbQVHwuGGChJs,4049,,,0.02122,2013-12-11 10:15:43,2021-06-09 02:35:57,,,37,
414,3Jz9R3Eevdx2nrSidWt6ZB3fntznCcZ5TN,4036,,,0.02115,2018-09-25 18:21:09,2022-06-15 15:46:59,2020-08-25 17:11:47,2022-06-15 15:46:59,41,40
415,3HDCw5jHZt5J6Xm59c2NzsFezK7TeUk4Fw,4032,,,0.02113,2020-07-15 19:33:04,2021-06-09 02:35:57,,,15,
416,1eNYBayUb4UfZH1HEBeKZv1eLAB8MuXG7,4020,,,0.02107,2020-12-13 10:33:06,2021-06-09 02:35:57,,,10,
417,1VeMPNgEtQGurwjW2WsYXQaw4boAX5k6S,4000,,,0.02096,2014-11-30 14:06:15,2021-06-09 02:35:57,,,55,
418,18eY9oWL2mkXCL1VVwPme2NMmAVhX6EfyM,4000,,,0.02096,2011-06-27 21:46:13,2022-06-26 17:48:57,,,36,
419,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,4000,,,0.02096,2010-07-24 23:35:23,2022-04-01 06:02:45,,,33,
420,1LwBdypLh3WPawK1WUqGZXgs4V8neHHqb7,4000,,,0.02096,2011-05-17 13:52:51,2022-06-13 12:03:08,,,35,
421,3CkcwbJSg22rng8kmM5h3xM9wAyx9LRjTT,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:33:58,2020-06-18 06:33:58,17,1
422,3DvACYtTcYh2i5cPmjs1APsbxpW4BxuJAU,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:40:41,2020-06-18 06:40:41,16,1
423,34dUnJZeubiRPRwcPTKSCheijXjGTMpppX,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:33:58,2020-06-18 06:33:58,16,1
424,3QbrveqTynaBCkLErjkKpQiTtNwXxZMB57,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:40:41,2020-06-18 06:40:41,16,1
425,3Bg2GznyRPA7hKb8djGwRZjr87XR3MrUgZ,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:47:23,2020-06-18 06:47:23,16,1
426,3QjeqXjQezmmC4rueLJh1d4pHKDPQiomBJ,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 07:00:50,2020-06-18 07:00:50,16,1
427,3KFiNrDGfKotN9bb6DS6MKEhtuczpx8P87,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:33:58,2020-06-18 06:33:58,15,1
428,3MD3yyLUJLGwB5JgcPot92mwfHNE2MxwLe,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:33:58,2020-06-18 06:33:58,15,1
429,3311NrsdWmckE8NL5CbAZV3RcKTM8vSChV,4000,,,0.02096,2020-06-18 06:01:29,2021-06-12 09:42:16,2020-06-18 06:35:33,2020-06-18 06:35:33,15,1
430,1MPsPzkBK3w8J6CJyAFUkoiSaxTqWRabsk,4000,,,0.02096,2019-07-24 18:35:27,2021-06-12 09:42:16,,,18,
431,37TTwX8uGwjWApXL8GbwU9p7vHoAupCFcw,4000,,,0.02096,2022-01-20 14:22:30,2022-05-24 15:57:53,2022-03-11 21:59:40,2022-03-11 21:59:40,7,1
432,1HJDQbLauXEkzsTujzw5PaAqbcDCBeLiq1,4000,,,0.02096,2019-07-24 18:35:27,2021-06-12 09:42:16,,,18,
433,1JUuAaHSuxy4hSuBz3HknjLdCtmL28Hcj8,4000,,,0.02096,2017-10-19 19:20:20,2021-06-12 09:42:16,,,24,
434,1DWB2HajYBcDBuB2iSGzRVaCpcQKEPvCsj,3997,,,0.02095,2019-06-28 14:50:23,2021-06-12 09:42:16,,,18,
435,3QBgPq9x1qqBTAdjYvyapgwtZsQMUeiJkF,3982,,,0.02087,2022-04-02 11:33:52,2022-04-02 12:01:49,2022-04-02 12:01:49,2022-04-02 12:01:49,2,1
436,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,3963,,,0.02077,2011-01-13 13:30:16,2021-06-12 09:42:16,,,40,
437,3K6zNdH8bhefaVD7ob2RchKSmiXr5bZes4,3958,,,0.02074,2021-04-29 17:07:42,2021-06-12 09:42:16,,,3,
438,35h3wuHCVzuULtL7nRtYq9bzWVRR554QbY,3950,,,0.02070,2017-08-22 04:35:50,2021-06-12 09:42:16,,,26,
439,1D9Tagw8NWdG63XE5Sy8PsGHxtEyVJWQrg,3933,,,0.02061,2018-05-02 19:00:54,2021-06-12 09:42:16,,,21,
440,1812yXzGSekCMvWE477MK9q7PDYcdSNBNT,3901,,,0.02044,2020-05-24 16:38:10,2021-06-12 09:42:16,,,16,
441,bc1q83q5muymap0lx8ga9ujl8cutegj69fygsxp6pr,3900,,,0.02044,2022-04-12 07:25:30,2022-06-21 13:29:54,2022-04-23 08:47:37,2022-05-31 03:17:54,20,13
442,124YoiaSaUssbBeP5RukbSN9Evc3UJfwPj,3886,,,0.02036,2016-11-26 06:39:22,2022-06-29 09:53:47,,,2858,
443,bc1q9uh96nfn46qkldqxk4r8glj4k4dcay4q69tc45,3818,3818,3818,0.02001,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
444,1Lb8AF3kicbtrqTwRGjz6skRqMJG4WiShW,3791,,,0.01987,2021-12-29 19:34:35,2022-05-03 21:50:38,2022-01-03 23:28:32,2022-05-03 21:20:06,19,11
445,358yyKd4S7Z1hFqUcKPKBnR4GzViRge9zB,3771,3771,3771,0.01976,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
446,188r3qaNRfFMVebuPDVEHBzKmWfTSdBj7p,3740,,,0.01960,2018-12-16 23:35:51,2022-06-28 14:00:48,2019-05-01 00:47:30,2022-06-28 01:26:22,195,191
447,16J5dHdRbgoZ9VmLkEGJnk2eLXpQefYJTe,3734,,,0.01957,2021-06-03 18:30:32,2021-06-12 09:42:16,,,2,
448,1yAFNheT6MyMddhYXqjW9yYgNh6KiKTWb,3716,,,0.01948,2017-12-28 06:20:08,2021-06-13 02:29:41,,,26,
449,bc1qj3trdra96pql62wsarz32a0xgygagaeq7esgcg8r7yxqd7l579msxp4ey0,3714,3714,,0.01946,2022-06-06 09:25:46,2022-06-06 09:25:46,,,1,
450,bc1q6cfpun7ns559emh29ylza6wgkgurt3xaf7xvjn8v89r5j98t69zqkd8gra,3692,3692,,0.01935,2022-06-15 21:11:38,2022-06-15 21:11:38,,,1,
451,31oPJn8YkoaYYe2aTEAAocCJqBxzHpugQt,3683,,,0.01930,2018-10-11 02:38:53,2022-06-28 16:03:37,2018-10-11 03:05:19,2022-06-27 03:33:07,1893,1308
452,1GMFSWQQQhCQyRNQcac9tDKcvqYCuripVs,3674,,,0.01926,2013-04-25 02:09:35,2021-06-09 09:39:20,,,30,
453,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,3623,,,0.01899,2018-10-25 01:19:48,2021-06-09 09:39:20,,,55,
454,bc1qkqpfk4za0tjwyra0u7crtysx8ang5xmths5s5v,3610,,,0.01892,2021-11-01 02:29:34,2021-11-01 02:33:45,2021-11-01 02:33:45,2021-11-01 02:33:45,2,1
455,3FpBCFrSNU8R6ppRULGvsBa2BQEXta1CiQ,3602,,,0.01888,2022-02-04 23:54:58,2022-02-04 23:54:58,,,1,
456,14mPMrRm6TdjqHZhd7aBUbuWt5MYWReukR,3600,,,0.01887,2013-03-13 08:10:00,2021-06-09 09:39:20,,,31,
457,bc1q9gkp6stycd870sc9sv70ulj7esd7ynmgqfdaud,3573,,,0.01873,2020-12-28 19:40:43,2021-06-09 09:39:20,,,7,
458,18h6Qix8BKR6xJBfhNNrkftPkWT98ggd4R,3565,,,0.01868,2020-12-13 06:26:49,2022-06-28 08:24:07,2022-06-28 07:55:47,2022-06-28 08:24:07,11,2
459,174uzhhPu3tVNLw5fqEpQxPQaT3LS9eYsE,3562,,,0.01867,2022-05-17 09:56:23,2022-06-28 10:46:28,2022-05-18 08:28:57,2022-05-18 08:28:57,8,1
460,bc1qg87c30jyj5nrf3jl2puv2w9fyy9pfp554sxn9t,3552,,,0.01862,2020-12-28 19:40:43,2021-06-09 09:39:20,,,7,
461,3EiAcrzq1cELXScc98KeCswGWZaPGceT1d,3541,,,0.01856,2018-11-01 14:48:49,2022-06-30 08:07:26,2018-11-10 21:42:01,2022-06-30 08:07:26,22005,21850
462,bc1qd3a6eefkkurt4ddxhj902p6wpvvhl2fyasqaag,3537,,,0.01854,2021-12-06 20:35:10,2021-12-06 20:35:10,,,1,
463,1PuXkbwqqwzEYo9SPGyAihAge3e9Lc71b,3525,,,0.01847,2020-10-23 07:15:27,2022-01-22 04:38:41,2020-10-23 09:07:05,2022-01-22 04:38:41,44404,43775
464,bc1q9x82ww3mngsvpdmq30t6m4gmhksdwdaaprlpvr,3512,,,0.01840,2020-12-28 19:40:43,2021-06-13 02:29:41,,,7,
465,bc1qhkya3avpxfm0pajdw0h89gaa08vyk924zj67v0,3502,,,0.01836,2020-12-28 19:40:43,2021-06-09 09:39:20,,,7,
466,bc1qg2v98m3p22myv3dtn8wmaeg0s6ffyyhanzcrw3,3500,3500,,0.01834,2022-06-04 01:43:40,2022-06-04 01:43:40,,,1,
467,1HRpC4MqQsvFpQRpXtxnyB1Y3YQfwY21Du,3500,,,0.01834,2017-10-19 19:50:39,2021-06-13 02:29:41,,,19,
468,bc1qkj2qdzlzh2aptn5cu52ucf3nkmjj9x89qrd0tr,3500,,,0.01834,2020-12-28 19:43:53,2021-06-09 09:39:20,,,7,
469,34RHvKnrRzG3YMBos5utJh4jU5JYvN8gsp,3500,,,0.01834,2021-10-28 10:17:41,2022-03-17 07:15:19,2021-12-03 16:14:19,2022-01-19 15:18:40,6,4
470,3PFMD9zQ1xRgBXBFSHzoo7eqAaCPL9L7wq,3500,,,0.01834,2021-10-28 10:17:41,2022-03-17 07:15:19,2021-11-26 22:04:45,2021-12-08 17:16:26,6,4
471,3ER1pt6BBn1BftEXEnN4bptukpj2FZgJFW,3500,,,0.01834,2020-04-30 07:31:27,2022-06-30 06:47:08,2020-04-30 09:59:53,2022-06-30 06:47:08,258,215
472,3MmBnuq1K4FjWjViZbuDwSWkH6bL8MmcAC,3482,,,0.01825,2022-02-10 16:03:51,2022-06-07 20:24:38,,,4,
473,1FishZMR2YSmussTBMCPirja83C3d3CCTX,3465,,,0.01816,2016-01-23 12:56:44,2021-05-28 05:09:06,2016-01-23 13:11:28,2021-04-01 13:15:42,98,68
474,1478YKRxUK9qtJ9emedkbbP1MLDzv2DJu9,3450,,,0.01808,2021-12-01 18:51:01,2022-06-23 21:07:36,2021-12-02 21:32:59,2022-06-16 14:56:05,75,41
475,1PNkzoSzRgMEZusn62vR4SJsFci18gP46C,3444,,,0.01805,2020-08-25 06:19:37,2022-06-10 10:18:08,2020-08-27 21:16:52,2022-05-09 18:17:08,32,30
476,17sdJUuR27w5vJrDP2wqEwcSUo7z3r4X1D,3442,,,0.01804,2018-08-22 14:36:01,2022-06-27 15:00:33,2018-09-29 21:30:34,2022-06-27 15:00:33,59,58
477,1fw4PbvZXdzbKo5WD3hdSvqKDze3g4HHe,3440,,,0.01803,2018-08-22 16:41:39,2022-05-27 14:53:35,2018-09-28 23:39:39,2022-05-27 14:53:35,44,36
478,3M64heKDK8hMAk61dNKDfoHh9r8uSUktzv,3427,3427,,0.01796,2022-06-15 19:02:21,2022-06-15 20:21:59,,,2,
479,bc1q0ydd6jgu4njfura3nm9t0fw9mkfgvad0qf9xn2,3425,,,0.01795,2021-07-25 14:13:16,2021-07-25 22:47:35,,,10,
480,bc1q8cexgrmmay8ut9v8lfawpsclngzcccmh0xnxqe,3420,3420,3420,0.01792,2022-06-29 07:19:13,2022-06-30 08:16:06,,,3,
481,3QVD5HvPJLbQhDsDdoDZtW9cwZG3mEFzRN,3417,3417,,0.01791,2022-06-02 16:58:33,2022-06-15 14:31:49,,,2,
482,385VzfGx8gi89AccnhMynEx7cWWVLREXW6,3411,,,0.01788,2020-03-12 14:08:48,2021-06-09 09:39:20,,,15,
483,bc1qfd9wg4eh4ey7ar9my04xk67mxf7rax8nkuwqjqwpttkcqj6wqkcq3kpx98,3401,,,0.01782,2020-03-03 05:46:08,2022-06-25 00:35:16,2020-06-01 15:28:08,2022-06-27 22:47:40,185,132
484,32iNZDYtEhe8UuJoUbsBMvWDafr6u32TPC,3398,,,0.01781,2019-05-28 22:58:27,2022-06-17 12:06:46,2020-07-02 00:21:54,2022-02-24 09:28:31,122,67
485,bc1qytjrhq2te0knltlwmx2n6gzqmgkfz7zd7aekcysyvk6xnvrdvyssm0uejx,3371,3371,3371,0.01767,2022-06-30 08:35:27,2022-06-30 08:35:27,,,1,
486,bc1q6t69w93w3gf3jpv4jayuw4qaft5f09cf5adzgg3zyy87z4de945qh63y8y,3368,,,0.01765,2021-04-27 02:25:55,2021-04-27 02:25:55,,,1,
487,3NXZ88Erpa6yFn2Sw7s658PV7z7e8y4XpH,3356,,,0.01759,2021-11-29 04:45:52,2021-11-29 04:45:52,,,1,
488,1KWf8LsYogaUKXqBD7pHDCrW5b6g5Pwujz,3350,3350,3350,0.01756,2022-06-22 23:59:53,2022-06-30 01:18:40,,,11,
489,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,3350,,,0.01756,2010-08-07 04:53:03,2021-06-09 09:39:20,2010-08-18 20:58:26,2011-04-24 05:44:11,39,2
490,1GfaQQ4XXqtrVXKhcS7pYgEKx8ZiFtrwEF,3349,3349,3349,0.01755,2022-06-29 16:46:33,2022-06-30 01:18:40,,,5,
491,1BQN5YFDvYpU11b7V57w5RerYYhhdHFfmk,3347,,,0.01754,2016-09-08 13:50:15,2022-01-25 22:52:38,2016-09-08 23:19:39,2020-02-04 16:03:42,49,16
492,1993iBshpkvGAxC1BgRUqDoCfr67h7LPxQ,3344,3344,3344,0.01752,2022-06-27 07:43:40,2022-06-29 16:46:33,,,8,
493,1Mkbhd9oGEnigqpT3AwTK7nUQmb2EfssPe,3344,3344,,0.01752,2022-06-21 21:10:07,2022-06-29 16:46:33,,,8,
494,1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,3340,,,0.01751,2021-03-05 02:26:19,2021-06-18 14:49:33,,,55,
495,bc1qrh0mk4hec7edmarnalse77an5rdpq7an6048rk,3336,,,0.01748,2021-10-12 04:07:56,2021-10-12 04:07:56,,,1,
496,33wD5q7SqoJst6HfvRvQgyXomMiKS3E2nR,3333,3333,3333,0.01747,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
497,1V5a5bfo8jttoYSvPQtxuh3QXS8QKQPwM,3331,3331,3331,0.01746,2022-06-22 14:04:16,2022-06-22 23:59:53,,,6,
498,1LNHExQfnW6YPCDPTbiWi3MZthGEwfn9Zs,3330,3330,,0.01745,2022-06-20 16:51:03,2022-06-20 16:51:03,,,5,
499,16JipQam6GAzL39E9R4nufkhpFyr7H8iu1,3330,3330,,0.01745,2022-06-19 11:19:00,2022-06-20 16:51:03,,,9,
500,bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u,3314,,,0.01737,2020-08-20 13:01:16,2022-06-30 06:47:08,2020-08-20 13:01:16,2022-06-29 09:50:47,27920,27883
