bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,20144,33190,29669
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,6,6
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,5,6,7
1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAq,5,13,18
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,5,6,9
1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,5,9,9
124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,5,23,16
12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAq,1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,5,18,13
1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,5,20,19
147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,5,17,7
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,9,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,5,7,13
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,13,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
1JCozFUFS5TBAAbnrr9jRWDVQURo2kGeRq,1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,5,8,20
1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,5,5,7
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,5,16,13
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,5,5,13
147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,5,17,8
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,6,6
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
15n6GcFRFm3287FotAWunZe58D9yXx13AB,1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4E,5,15,16
1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,5,16,19
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,7,6
1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,5,19,16
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,5,13,16
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,5,7,17
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,7,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,5,7,7
1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,5,14,23
1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,5,15,23
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,5,6,13
1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,5,16,19
124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,5,23,14
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,6,6
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,4,13,5
1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,4,6,4
18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,4,4,5
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,4,7,7
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,4,13,6
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,4,6,7
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,7,9
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,4,9,7
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,4,6,13
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,7,9
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,4,7,7
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,4,5,5
34RHvKnrRzG3YMBos5utJh4jU5JYvN8gsp,3PFMD9zQ1xRgBXBFSHzoo7eqAaCPL9L7wq,4,6,7
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,4,13,4
17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,4,4,6
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,4,9,7
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,4,6,13
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,6,9
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,4,9,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,4,7,7
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,4,13,6
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,6,9
1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,4,9,9
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,4,5,7
1MGRMRJkMvEbmSRZxtA5zkAoZiDBEnrFGj,1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,4,11,9
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,7,9
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,4,7,8
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,4,7,6
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,4,5,13
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,4,9,7
1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,4,9,6
1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,4,6,9
1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,4,12,19
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,4,7,13
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,4,7,13
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,4,7,5
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,4,9,6
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,4,5,7
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,4,9,7
1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,1MGRMRJkMvEbmSRZxtA5zkAoZiDBEnrFGj,4,9,11
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,4,5,4
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,4,5,8
16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,4,3,6
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,4,7,7
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,4,7,6
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,7,9
15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,4,7,4
3PFMD9zQ1xRgBXBFSHzoo7eqAaCPL9L7wq,34RHvKnrRzG3YMBos5utJh4jU5JYvN8gsp,4,7,6
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,4,13,7
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,4,8,5
1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,4,6,9
16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,4,4,7
1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,4,19,12
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,4,13,7
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,4,7,5
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,4,8,7
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,4,6,7
1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,4,9,6
1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,4,6,3
18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,4,4,13
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,4,5,5
1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,4,9,9
1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn,19F4xZNBxtPAdMqFudr2LDH5efeeUYF21x,3,4,3
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,3,8,5
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,3,13,9
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,3,13,8
18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,3,4,7
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,3,13,7
1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,3,3,6
17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1,1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2,3,3,3
16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,3,3,7
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,3,13,7
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,3,7,4
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,3,5,4
1MJZLeLbsoSf2kuDr5gAX3QE93BvhvqkCC,1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,3,15,7
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,3,6,6
19F4xZNBxtPAdMqFudr2LDH5efeeUYF21x,1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn,3,3,4
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,3,7,13
1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn,17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1,3,3,3
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,3,9,13
1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn,1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2,3,3,3
1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn,1Fjom9b9wvp3HPi2ZS9hqXQwJpXcjumSYJ,3,4,7
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,3,7,13
12mJZGPCWf5C2ap2dUdJiuGr8eWAvi6E5M,1FDzP5vQGMhCzeb9nH4AcUDnUbcHS22BMZ,3,4,3
1FDzP5vQGMhCzeb9nH4AcUDnUbcHS22BMZ,12mJZGPCWf5C2ap2dUdJiuGr8eWAvi6E5M,3,3,4
1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,3,3,3
1BbSZNNhoBUCFGMfnscBDXf7PH1takoMga,1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,3,3,6
1Fjom9b9wvp3HPi2ZS9hqXQwJpXcjumSYJ,1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn,3,7,4
18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,3,4,5
1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2,1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn,3,3,3
15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,3,3,4
16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,3,3,4
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,3,8,13
1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,3,7,13
15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,3,7,3
1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2,17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1,3,3,3
1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,3,6,3
17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,3,4,3
1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,3,6,6
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,3,13,7
15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,3,3,3
17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,3,4,3
1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,3,5,13
17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1,1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn,3,3,3
1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,1BbSZNNhoBUCFGMfnscBDXf7PH1takoMga,3,6,3
1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,3,6,3
1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,3,3,4
16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,3,4,3
15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,3,3,6
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,3,13,5
1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,1MJZLeLbsoSf2kuDr5gAX3QE93BvhvqkCC,3,7,15
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,3,5,8